published;title;summary;link
Tue, 01 Dec 2020 12:41:15 -0500;Words Of Advice;Let's face it — we could all use some help right now. So today on the pod, we're looking at a few of our favorite questions about race and identity from our "Ask Code Switch" series. We're getting into food, relationships, money, language, friendship and more, so you know it's about to get a little messy (in the best way.);https://www.npr.org/2020/12/01/940547250/words-of-advice
Wed, 25 Nov 2020 00:04:06 -0500;Thank You, Next;It's Thanksgiving week, and like basically everything else about 2020, this holiday is on track to be...let's call it "different." But while the world has changed in innumerable ways this year, one thing that hasn't changed is that the country is still deeply politically divided.;https://www.npr.org/2020/11/24/938633514/thank-you-next
Wed, 18 Nov 2020 19:29:04 -0500;The White Elephants In The Room;One of the biggest storylines from the 2020 presidential race has ... well, <em>race</em> at the center of it. If you paid attention to the stories about exit polling, you heard a lot of talk about how Latinx and Black voters showed up in bigger numbers this year than back in 2016. But on this week's episode, we also focus on a conversation that's <em>not </em>happening: The one about a group whose support for Donald Trump hasn't wavered. We're talking about the white vote, and in particular, white evangelical voters.;https://www.npr.org/2020/11/17/935910276/the-white-elephants-in-the-room
Tue, 10 Nov 2020 23:01:00 -0500;Claim Us If You're Famous;Kamala Harris is the vice president-elect, which marks an impressive list of firsts: woman in the White House Black woman in the White House, Asian American in the White House etc. Her Indian heritage has gotten much less attention than her Black identity, and in many ways, it has been <em>complicated </em>by her Black identity. On this episode, we look at what Harris's identities can tell us about dual-minority POCs, South Asian political representation in the U.S., and what it all means at the voting booth.;https://www.npr.org/2020/11/10/933631207/claim-us-if-youre-famous
Wed, 04 Nov 2020 13:17:15 -0500;We ... Don't Know Anything Yet;Election Day has come and gone, but we're still awhile away from knowing what the outcome will be. But while there's a lot we don't about the results, we <em>do </em>know that this election will tell us a lot about what our electorate looks like. With some help from our friends at NPR's politics podcast, we're looking at what happened, and waiting with bated breath to see what this portends for the future.;https://www.npr.org/2020/11/04/931318730/we-dont-know-anything-yet
Sat, 31 Oct 2020 00:18:00 -0400;An Historic Vote, Among Many;For a lot of reasons, the 2020 election feels historic. But in one important way, it's like so many elections throughout American history: Black and brown voters are being disproportionately prevented from casting their ballots. On this bonus episode, we're revisiting a conversation with Carol Anderson, author of <em>One Person, No Vote, </em>about what voter suppression has looked like throughout history.;https://www.npr.org/2020/10/30/929669118/an-historic-vote-among-many
Wed, 28 Oct 2020 00:18:57 -0400;The Latinx Vote Comes Of Age;For the first time in election history, Latinos are projected to be the second-largest voting demographic in the country. The reason? Gen Z Latinx voters, many of whom are casting a ballot for the first time in 2020. So we asked a bunch of them: Who do you plan to vote for? What issues do you care about? And what do you want the rest of the country to know about you?;https://www.npr.org/2020/10/22/926678395/the-latinx-vote-comes-of-age
Wed, 21 Oct 2020 01:37:00 -0400;Is Trump Really That Racist?;We know his rhetoric has been described as boundary breaking when it comes to race. But U.S. presidents have been enacting racist policies forever. So as President Trump wraps up his first (and maybe only) term in office, we're asking: In terms of racism, how does he stack up to others when it comes to both words and deeds?;https://www.npr.org/2020/10/19/925385389/is-trump-really-that-racist
Wed, 14 Oct 2020 00:20:00 -0400;Let's Talk About Kamala Harris;The VP candidate's biography and heritage allow people to project all kinds of ideas onto her, and to see what they want to see. But Kamala Harris's identity is a very important lens into not just her own politics, but also Black politics around crime and punishment more broadly.;https://www.npr.org/2020/10/13/923369723/lets-talk-about-kamala-harris
Fri, 09 Oct 2020 06:00:33 -0400;Hip-Hop, Mass Incarceration, And A Conspiracy Theory For The Ages;Why are hip-hop and mass incarceration so entangled in the U.S.? That's the question that our play cousins at NPR Music, Sidney Madden and Rodney Carmichael, set out to answer on <a href="https://www.npr.org/podcasts/510357/louder-than-a-riot">their brand new podcast, <em>Louder Than a Riot.</em></a>;https://www.npr.org/2020/10/08/921869289/hip-hop-mass-incarceration-and-a-conspiracy-theory-for-the-ages
Wed, 07 Oct 2020 00:34:17 -0400;A Treaty Right For Cherokee Representation;On this week's episode of Code Switch, we talk about the relevance of a 200 year old treaty — one that most Americans don't know that much about, but should. It's a treaty that led to the Trail of Tears, but also secured a tenuous promise.;https://www.npr.org/2020/10/06/920935570/a-treaty-right-for-cherokee-representation
Sat, 03 Oct 2020 06:06:00 -0400;A New Look For The Fashion Industry?;Fall is the time for glossy fashion magazines, full of dazzling looks and the seasons hottest looks. But this year, we noticed something unusual: The covers of a bunch of major magazines fashion magazines featured Black folks. So we called up fashion critic Robin Givhan to talk about fashion's racial reckoning...and how long before it goes out of style.;https://www.npr.org/2020/10/02/919468357/a-new-look-for-the-fashion-industry
Wed, 30 Sep 2020 00:22:00 -0400;Is It Time To Say R.I.P. To 'POC'?;Suffice it to say, we use the term "POC" a lot on Code Switch. But critiques of the initialism — and the popularization of the term "BIPOC" — caused us to ask: Should we retire POC? Or is there use in it yet?;https://www.npr.org/2020/09/29/918418825/is-it-time-to-say-r-i-p-to-p-o-c
Wed, 23 Sep 2020 03:00:53 -0400;Battle Of The Books;The Code Switch team has been mired in a months-long debate that we're attempting to settle once and for all: What kind of books are best to read during this pandemic? Books that connect you to our current reality? Or ones that help you escape it?;https://www.npr.org/2020/09/21/915222213/battle-of-the-books
Wed, 16 Sep 2020 13:24:00 -0400;The Protests Heard 'Round The World;How did a police killing in Minneapolis lead people thousands of miles across the Atlantic Ocean to pull down the statue of a slave trader who's been dead for nearly three centuries? On this episode, we're going to the city of Bristol to tell the surprising story.;https://www.npr.org/2020/09/15/913353564/the-protests-heard-round-the-world
