published;title;summary;link
Wed, 02 Dec 2020 09:00:56 +0200;ITP Debug Mode in Safari;Intelligent Tracking Prevention is the name of the tracking prevention mechanism implemented in WebKit and enabled in Safari and all major browsers running on the iOS platform. I&rsquo ve written about it on this blog, and the CookieStatus.com resource is something you should bookmark for further reading.. The purpose of ITP is to prevent tracking tools&rsquo access to data stored and processed in the browser. This involves things like blocking all third-party cookies and restricting the lifetime of first-party cookies.;https://www.simoahava.com/privacy/itp-debug-mode-in-safari/
Sat, 28 Nov 2020 07:00:19 +0000;EEC Products -> GA4 Items - Custom Variable Template;This variable templates takes an Enhanced Ecommerce products/impressions/promotions array as an input, and outputs it in the updated &ldquo items&rdquo format for Google Analytics 4 Ecommerce.;https://www.simoahava.com/custom-templates/eec-products-ga4-items/
Mon, 16 Nov 2020 07:00:51 +0200;Implementation Guide For Events In Google Analytics 4;On the surface, tracking events in Google Analytics 4 (GA4) is fairly simple. Events are, after all, pretty much the only thing you can collect in GA4.. It&rsquo s easy to get tied down with endless comparisons to Universal Analytics, though. While I&rsquo m steadfastly opposed to the idea that GA4 should resemble Universal Analytics, it&rsquo s still important to cleanse the palate and approach GA4&rsquo s event tracking with an open mind.. There are some comparisons that can be drawn between the new and the old, but what GA4 might lack in some features and use cases, it more than makes up for this with a more flexible data structure.;https://www.simoahava.com/analytics/implementation-guide-events-google-analytics-4/
Wed, 11 Nov 2020 07:00:00 +0300;Facebook Pixel - Custom Tag Template;This is an <strong>unofficial</strong> template for the Facebook Pixel. You can use it to load the SDK, initiate the pixel(s), and to send custom and standard events to Facebook with any custom properties and user attributes you wish.;https://www.simoahava.com/custom-templates/facebook-pixel/
Thu, 05 Nov 2020 00:00:19 +0000;AudienceProject UserReport - Custom Tag Template;This is an <strong>unofficial</strong> template for AudienceProject&rsquo s UserReport tag.;https://www.simoahava.com/custom-templates/audienceproject-userreport/
Thu, 05 Nov 2020 00:00:01 +0200;Bulk Actions With Google Tag Manager Triggers;The release of bulk actions in the Google Tag Manager user interface was very welcome. For years, GTM users had been struggling with a somewhat crippled workflow of item-by-item management.. This release is even more impressive with the most recent update to it: bulk actions with TRIGGERS..  You can now select multiple tags and attach one or more triggers (or exceptions) to them. Or, conversely, you can use the feature to remove triggers (or exceptions) from tags.;https://www.simoahava.com/analytics/bulk-actions-google-tag-manager-triggers/
Thu, 22 Oct 2020 07:00:00 +0300;Google Analytics 4: Ecommerce Guide For Google Tag Manager;This is an implementation guide for Google Analytics 4. The guide is aimed at Google Tag Manager users and has been designed to complement the official documentation..  A thing to keep in mind is that Google Analytics 4 (GA4) is still very new. The Google Tag Manager integration is still in its infancy, and implementation places a lot of responsibility on accurate tagging and proper dataLayer instrumentation.. In this guide, I&rsquo ll explain the new data model from an implementation perspective, and walk you through the nuts and bolts on how to get the different parts of GA4&rsquo s Ecommerce machine to work in unison.;https://www.simoahava.com/analytics/google-analytics-4-ecommerce-guide-google-tag-manager/
Sat, 17 Oct 2020 07:00:00 +0300;Consent Mode (Google tags) - Custom Tag Template;This is a template for deploying Google tags&rsquo Consent Mode functionality. It lets you deploy Consent Mode with both the &ldquo default&rdquo and &ldquo update&rdquo commands.;https://www.simoahava.com/custom-templates/consent-mode/
Thu, 15 Oct 2020 07:00:00 +0300;Tag Assistant Preview Mode In Google Tag Manager;Last updated 21 October 2020: Clarified some technical details about the new Preview process..  Your favorite tagging platform, Google Tag Manager, now comes equipped with a completely revamped preview mode experience.. Gone are the days of having to minimize the debug pane to prevent it from hogging up screen real estate on the website.. Gone are the days of having to use browser extensions to see what happened in GTM on previous page loads.;https://www.simoahava.com/analytics/new-preview-mode-google-tag-manager/
Wed, 07 Oct 2020 12:08:47 +0300;Consent Mode For Google Tags;Not too long ago, Google announced a new consent mode for Google tags. It allows you to build a mechanism where Google&rsquo s tags parse, react, and respond to the consent status of your site visitors..  Consent Mode with a custom Google Tag Manager template In short, consent mode is a beta feature, which lets you determine whether or not Google&rsquo s advertising tags (Ads and Floodlight) and analytics tags (Universal Analytics, App + Web) can utilize browser storage when sending pings to Google&rsquo s servers.;https://www.simoahava.com/analytics/consent-mode-google-tags/
Thu, 01 Oct 2020 07:00:19 +0000;Adform Tracking Point - Custom Tag Template;This is an <strong>unofficial</strong> template for the AdForm Tracking Point. You can use it to load the SDK, initiate the tracking point, and to send page- and order-level data to AdForm.;https://www.simoahava.com/custom-templates/adform-tracking-point/
Wed, 30 Sep 2020 08:00:00 +0300;Search And Bulk Actions In Google Tag Manager;It&rsquo s lovely to see small, incremental, quality-of-life improvements to Google Tag Manager amid the behemothian feature releases such as custom templates in 2019 and server-side tagging in 2020.. This time around, we&rsquo ll take a look at the upgraded search functionality of the Google Tag Manager user interface, which makes search an actually useful tool. In addition to this, we&rsquo ll take a look at one of the most requested features in the history of Google Tag Manager, which we finally have access to: bulk actions!;https://www.simoahava.com/analytics/search-bulk-actions-google-tag-manager/
Thu, 17 Sep 2020 07:00:10 +0300;Intelligent Tracking Prevention In iOS 14, iPadOS 14, And Safari 14;Apple&rsquo s annual Worldwide Developer Conference in late June this year included a couple of big announcements around Apple&rsquo s approach to privacy in their software.. The new Privacy Report in Safari 14 (on all platforms) uses DuckDuckGo&rsquo s tracker radar list to detail which of the most prominent tracking-capable domains have been flagged by Intelligent Tracking Prevention (ITP) in the user&rsquo s browser.. Apple also announced that the WKWebView class, which all iOS and iPadOS (the operating systems for iPhones and iPads, respectively) must use, will include WebKit&rsquo s ITP mechanisms on by default.;https://www.simoahava.com/privacy/intelligent-tracking-prevention-ios-14-ipados-14-safari-14/
Wed, 16 Sep 2020 07:00:00 +0300;Partial Container Export In Google Tag Manager;Exporting a container in Google Tag Manager can have many purposes. From backing up Google Tag Manager versions to creating and distributing repositories of useful container snapshots, the container export is one of the most useful non-tagging-related tools that the GTM user interface offers.. However, one big misgiving in the feature (until now) has been that exporting just a subset of the container version or workspace has been impossible. It&rsquo s always the entire container or nothing.;https://www.simoahava.com/analytics/partial-container-export-google-tag-manager/
Thu, 03 Sep 2020 07:42:29 +0300;#GTMTips: Container Notifications In Google Tag Manager;A recent update to Google Tag Manager introduced container notifications.. By subscribing to container notifications, your Google Tag Manager login email address can be configured to receive an email for some of the key workflows in Google Tag Manager: containers getting published, and containers being submitted for approval (Tag Manager 360 only), for example.. Be sure to check out the official help center article about container notifications.. In this article, I&rsquo ll walk you through the feature and share a couple of tips on how to make it even more useful!;https://www.simoahava.com/gtm-tips/container-notifications-google-tag-manager/
Wed, 26 Aug 2020 09:00:17 +0300;#GTMTips: Utilize App Engine Headers In Server-side Tagging;When you create a Server container in Google Tag Manager, GTM creates an App Engine deployment in the Google Cloud Platform for you.. App Engine is a managed serverless platform, which basically means it&rsquo s a (set of) virtual machine(s) running in the cloud, with some extra bells and whistles added to make managing it easier.. A potentially useful thing that App Engine does is decorate all incoming HTTP requests with some HTTP headers that can be used in the app.;https://www.simoahava.com/gtm-tips/utilize-app-engine-headers-server-side-tagging/
Tue, 25 Aug 2020 09:52:51 +0300;#GTMTips: Get True IP Anonymization With Server-side Tagging;Since the release of Server-side tagging in Google Tag Manager, I&rsquo ve jumped at every opportunity to celebrate the tools it provides for improving end-user privacy and data security.. One of the biggest benefits is obfuscation-by-default. Since all hits are passed through the server-side proxy, the default view for any third-party tool (such as Google Analytics) is that of the server in the Google Cloud rather than the browser and device with which the user was browsing the site.;https://www.simoahava.com/gtm-tips/get-true-ip-anonymization-server-side-tagging/
Wed, 12 Aug 2020 07:04:01 +0300;The FPID Cookie For Google Analytics In Server-side Tagging;With Server-side tagging, the developer community has a chance to vastly improve the data collection capabilities of Google&rsquo s analytics platforms (Universal Analytics and App+Web). The ability to build our own templates is particularly potent with a Server container.. However, it&rsquo s not as if Google themselves are just sitting idly by and seeing what the community can come up with.. In the built-in Universal Analytics Client template in a Server container, there&rsquo s an option to migrate to a Server Managed Client ID.;https://www.simoahava.com/analytics/fpid-cookie-google-analytics-server-side-tagging/
Wed, 12 Aug 2020 07:03:00 +0300;#GTMTips: Build A Custom Universal Analytics Client For Server-side Tagging;You can utilize Server-side tagging in Google Tag Manager to build your own custom Universal Analytics proxy.. This proxy comes in the shape of a new Client custom template, which takes the incoming /collect requests and sends them to Google Analytics. While doing so, it also returns the _ga cookie in a Set-Cookie header, thus preventing Safari&rsquo s Intelligent Tracking Prevention from capping its expiration to just 7 days..  You might also be interested in reading what Google&rsquo s own solution is for migrating from JavaScript cookies to those set in HTTP headers.;https://www.simoahava.com/gtm-tips/build-custom-universal-analytics-client-server-side-tagging/
Wed, 12 Aug 2020 07:01:00 +0300;#GTMTips: Send Google Analytics Requests To Custom Endpoint;When you use Google Analytics on the web, you are most likely implementing one of analytics.js, the global site tag (gtag.js), or Universal Analytics tags via Google Tag Manager.. These libraries all end up doing the same thing: compiling a payload-rich HTTP request to an endpoint at https://www.google-analytics.com.. What if you want to have the JavaScript libraries do their job, but instead of sending the data to Google&rsquo s servers, you send them to a new, custom endpoint?;https://www.simoahava.com/gtm-tips/send-google-analytics-requests-custom-endpoint/
Wed, 12 Aug 2020 07:00:00 +0300;Server-side Tagging In Google Tag Manager;Ever since Server-side tagging was publicly announced at SUPERWEEK 2020, Google and the trusted tester community have been hard at work, building something that just might change the landscape of digital analytics for good.. Google Tag Manager has now released Server-side tagging into public beta. In this lengthy article, we&rsquo ll take a look at what Server-side tagging is, how it should (and should not) be used, and what its implications are on the broader digital analytics community.;https://www.simoahava.com/analytics/server-side-tagging-google-tag-manager/
Tue, 04 Aug 2020 10:17:10 +0300;Build A Lookup Table Generator For Google Tag Manager;In this step-by-step guide, I&rsquo ll show you how to build a Lookup Table generator in Google Sheets, utilizing Apps Script and the Google Tag Manager API..  The purpose of the Lookup Table generator is to automate the often tedious task of adding many, many rows to a Lookup Table within the Google Tag Manager UI. There are other solutions for this, but none (as far as I know) that uses the Google Tag Manager API.;https://www.simoahava.com/analytics/lookup-table-generator-google-tag-manager/
Tue, 21 Jul 2020 15:10:51 +0200;About Simo Ahava;Hi, I&rsquo m Simo Ahava. I&rsquo m partner and co-founder at 8-bit-sheep.. I have also been a Google Developer Expert for Google Analytics and Google Tag Manager since 2014.. I hail from Espoo, neighboring Helsinki, the capital of Finland. I have a background in academics (English language and linguistics), in IT, in digital marketing, and in web development. I&rsquo ve been programming actively since 1997, and I built my first website the same year.;https://www.simoahava.com/about-simo-ahava/
Wed, 01 Jul 2020 07:00:00 +0300;What's In A CNAME;With the rise of ad and content blockers (think Ghostery and uBlock Origin), as well as browser tracking protections (see www.cookiestatus.com), marketing technology vendors have their work cut out for them. And when I refer to &ldquo their work&rdquo , I mean they have to proactively identify and exploit any loopholes they can find to keep on collecting their precious data..  In this article, I&rsquo ll take a look at one such exploit vector, the Canonical Name (CNAME) DNS record, in particular.;https://www.simoahava.com/web-development/whats-in-a-cname/
