published;title;summary;link
Mon, 07 Dec 2020 11:49:11 Z;Harness analytical and predictive power with Azure Synapse Analytics;Since its preview announcement, we’ve witnessed incredible excitement and adoption of Azure Synapse from our customers and partners.;https://azure.microsoft.com/blog/harness-analytical-and-predictive-power-with-azure-synapse-analytics/
Mon, 07 Dec 2020 06:00:08 Z;The broadest range of cloud innovation across US Government data classifications;Today, we are announcing the expansion of our mission-critical cloud for US Government with new capabilities in Azure Government, the expansion of Azure Government Secret, and the announcement of a new cloud to serve customers with top secret classified data—Azure Government Top Secret.;https://azure.microsoft.com/blog/the-broadest-range-of-cloud-innovation-across-us-government-data-classifications/
Mon, 07 Dec 2020 05:45:09 Z;Azure Modular Datacenter – Mission resiliency for the field;Defense and national security missions often occur away from headquarters and in the field, where things happen quickly and rapid decision making can translate to success or failure.;https://azure.microsoft.com/blog/azure-modular-datacenter-mission-resiliency-for-the-field/
Thu, 03 Dec 2020 08:00:22 Z;Shape your future with data and analytics;Over the years, we have had a front-row seat to digital transformation occurring across all industries and regions around the world.;https://azure.microsoft.com/blog/shape-your-future-with-data-and-analytics/
Wed, 02 Dec 2020 10:00:10 Z;Microsoft named a Leader in Gartner’s 2020 Magic Quadrant for Cloud DBMS Platforms;We would like to share that Microsoft has been named a Leader in the 2020 Gartner Magic Quadrant for Cloud Database Management Systems.;https://azure.microsoft.com/blog/microsoft-named-a-leader-in-gartner-s-2020-magic-quadrant-for-cloud-dbms-platforms/
Mon, 30 Nov 2020 13:00:08 Z;Digital event: Explore how data and analytics will impact the future of your business;Planning strategic data and analytics initiatives is now critical for helping your organization build the agility and resilience needed to successfully navigate the future.;https://azure.microsoft.com/blog/digital-event-explore-how-data-and-analytics-will-impact-the-future-of-your-business/
Mon, 30 Nov 2020 10:00:06 Z;Azure Cost Management and Billing updates – November 2020;Get your budget emails in the language of your choice, enjoy a preview of new cost views optimized for resources and reservations, and take advantage of even more ways to save money! November is as action-packed as ever. And don't forget to check out new videos and documentation updates to help you be more successful than ever in driving financial health within your organization.;https://azure.microsoft.com/blog/azure-cost-management-billing-updates-november-2020/
Tue, 24 Nov 2020 03:10:32 Z;Achieving 100 percent renewable energy with 24/7 monitoring in Microsoft Sweden;Today, we are announcing that Microsoft will be the first hyperscale cloud provider to track hourly energy consumption and renewable energy matching in a commercial product using the Vattenfall 24/7 Matching solution for our new datacenter regions in Sweden, which will be available in 2021.;https://azure.microsoft.com/blog/achieving-100-percent-renewable-energy-with-247-monitoring-in-microsoft-sweden/
Mon, 23 Nov 2020 09:00:21 Z;Hybrid and multicloud strategies for financial services organizations;The financial services industry is a dynamic space that is constantly testing and pushing novel use cases of information technology. Many of its members must balance immense demands—from the pressures to unlock continuous innovation in a landscape with cloud-native entrants, to responding to unexpected surges in demand and extend services to new regions—all while managing risk and combatting financial crime.;https://azure.microsoft.com/blog/hybrid-and-multicloud-strategies-for-financial-services-organizations/
Mon, 23 Nov 2020 08:00:20 Z;Guest health feature in Azure Monitor for virtual machines;We are announcing the preview of Azure Monitor for virtual machines guest health feature that monitors the health of your virtual machines and fires an alert when any parameter being monitored is outside the acceptable range.;https://azure.microsoft.com/blog/guest-health-feature-in-azure-monitor-for-virtual-machines/
